,cntry2,value,pty_abbr,notes
369,IT,Lista per la Costituzione,LdP,"Lista del Popolo per la Costituzione, LdP"
370,IT,Lista Tsipras,L'Altra Europa,L'Altra Europa
371,IT,Movimento Sociale Fiamma Tricolore,FN - FT,
372,IT,P.C.L,PCL,"Partito Comunista dei Lavoratori, PCL"
373,IT,PaP,PaP,
374,IT,partito comunista,PCL,"Partito Comunista dei Lavoratori, PCL"
375,IT,Partito comunista,PCL,"Partito Comunista dei Lavoratori, PCL"
376,IT,partito comunista dei lavoratori,PCL,"Partito Comunista dei Lavoratori, PCL"
377,IT,Partito Comunista dei Lavoratori,PCL,"Partito Comunista dei Lavoratori, PCL"
378,IT,Partito Democratico e Potere al Popolo (voto diverso per camera e senato),PD,
379,IT,"PD al senato , 5S alla camera (elettore in Lombardia)",M5S,
380,IT,Pd camera SEL senato,PD,
381,IT,Per una Sinistra Rivoluzionaria,PSR,
382,IT,Più europa,Piu Europa,
383,IT,Più Europa,Piu Europa,
384,IT,Potere al Pololo,PaP,
385,IT,potere al popolo,PaP,
386,IT,Potere al popolo,PaP,
387,IT,Potere al Popolo,PaP,
388,IT,Potere al popolo!,PaP,
389,IT,Radicali,RI,
390,IT,Radicali amnistia giustizia libertà,RI,
391,IT,rifondazione,PRC,"Partito della Rifondazione Comunista, PRC"
392,IT,rivoluzione civile,LdP,"Lista del Popolo per la Costituzione, LdP"
393,IT,Rivoluzione civile,LdP,"Lista del Popolo per la Costituzione, LdP"
394,IT,Rivoluzione Civile,LdP,"Lista del Popolo per la Costituzione, LdP"
395,IT,RIVOLUZIONE CIVILE,LdP,"Lista del Popolo per la Costituzione, LdP"
396,IT,Rivoluzione Civile - Ingroia,LdP,"Lista del Popolo per la Costituzione, LdP"
397,IT,Rivoluzione Civile (Ingroia),LdP,"Lista del Popolo per la Costituzione, LdP"
398,IT,Rivoluzione civile Ingroia,LdP,"Lista del Popolo per la Costituzione, LdP"
399,IT,Rivoluzione Civile Ingroia,LdP,"Lista del Popolo per la Costituzione, LdP"
400,IT,"Rivoluzione Civile, a naso turato.",LdP,"Lista del Popolo per la Costituzione, LdP"
401,IT,Scelta civica,SC,"Scelta Civica, SC"
402,IT,svp,SVP,
403,IT,UDC,UdC,"Unione dei Democratici Cristiani e Democratici di Centro, UDC"
404,IT,Union Valdotaine,UV,
405,NL,artikel 1,BIJ1,"BIJ1, formerly known as Article 1 (Dutch: Artikel 1),"
406,NL,Artikel 1,BIJ1,
407,NL,Artikel1,BIJ1,
408,NL,BasisInkomen Partij,De Basis,"De Basis, formerly known as the Basic Income Party (Dutch: Basisinkomen Partij, BIP)"
409,NL,Basispartij,De Basis,
410,NL,Beter van Dordt,Beter van Dordt,
411,NL,bij1,BIJ1,
412,NL,Bij1 (Artikel1),BIJ1,
413,NL,DBB,DBB,
414,NL,"De vrijzinnige partij, Norbert Klein",Vrijzinnige Partij,Vrijzinnige Partij
415,NL,Geen Peil,GeenPeil,
416,NL,geenpeil,GeenPeil,
417,NL,Geenpeil,GeenPeil,
418,NL,GeenPeil,GeenPeil,
419,NL,GL en PvdA,GL,
420,NL,Jan roos,VNL,
421,NL,Jezus leeft,Jezus Leeft,
422,NL,LibDem,LibDem,"Liberaal Democratische Partij, LibDem"
423,NL,Libertarische partij,LP,"Libertaire Partij, LP"
424,NL,Libertarische Partij,LP,"Libertaire Partij, LP"
425,NL,LP,LP,"Libertaire Partij, LP"
426,NL,nieuwe wegen,Nieuwe Wegen,
427,NL,Nieuwe wegen,Nieuwe Wegen,
428,NL,Nieuwe Wegen,Nieuwe Wegen,
429,NL,Norbert Klein,Vrijzinnige Partij,Vrijzinnige Partij
430,NL,op de persoon mark rutte,VVD,
431,NL,Pirate Partij,Piraten,
432,NL,piraten,Piraten,
